Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms),Month,Year_Month
2025-03-25,20.0,1603.0579155539533,1050.0222015985596,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4812410385224349,1.5192958379085812,0.2642831287474787,1589.0,0.0,0.0,0.0,0.0,120670.0,68703.0,March,2025-03
2025-03-26,31.0,1621.9091590712558,1082.3332978732988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4913372842566184,1.227122870304128,0.264731657323683,1709.0,0.0,0.0,0.0,0.0,673745.0,0.0,March,2025-03
2025-03-27,69.0,1774.1544352624946,3973.879162003939,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6935356490530572,1.9547159008056607,0.2786534280088226,5232.0,0.0,0.0,0.0,0.0,2471186.0,582909.0,March,2025-03
2025-03-28,30.0,1661.9597828936376,1746.5276430500771,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8801880008593099,1.3146960508543797,0.2753492206354965,2503.0,0.0,0.0,0.0,0.0,1506347.0,0.0,March,2025-03
2025-03-29,73.0,1695.1442430868535,3269.9601593081493,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5399230562486362,1.5359478754227167,0.2544226951384902,4707.0,0.0,0.0,0.0,0.0,2196209.0,0.0,March,2025-03
2025-03-30,88.0,1846.4517855268205,5158.261424359073,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5086640047220531,1.7783015078659674,0.2544226951384902,6968.0,0.0,0.0,0.0,0.0,5341701.0,0.0,March,2025-03
2025-03-31,9.0,1611.9228661821378,525.9758874625579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5777951305765235,1.5638343953875415,0.2786534280088226,765.0,0.0,0.0,0.0,0.0,466143.0,0.0,March,2025-03
2025-04-01,18.0,1632.6914279953378,1092.5020976464143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4248889643038117,1.4595563957504254,0.2544226951384902,2211.0,0.0,0.0,0.0,0.0,897895.0,0.0,April,2025-04
2025-04-02,131.0,1915.9005330563311,7636.651420365711,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6179485700905627,2.0722323724872727,0.2544226951384902,10266.0,0.0,0.0,0.0,0.0,6781877.0,0.0,April,2025-04
2025-04-03,111.0,1908.3626697624668,7146.550164188368,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7847427387548355,1.7690101129584253,0.2429817328939403,9461.0,0.0,0.0,0.0,0.0,6628748.0,0.0,April,2025-04
2025-04-04,117.0,1827.251764604512,6503.8004641492935,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.651225572533908,1.6233521471606156,0.3149995273143212,8730.0,0.0,0.0,0.0,0.0,4939185.0,0.0,April,2025-04
2025-04-05,126.0,1905.797025731356,7759.301167096848,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8433761300394876,1.8919441385432407,0.2786534280088226,10439.0,0.0,0.0,0.0,0.0,6575414.0,0.0,April,2025-04
